,message,message_id,date,remove
13,"​​🔝Топ ошибок инвесторов при работе с биржевыми заявками 

Не сработал стоп? Не по той цене закрылась заявка? На счёте появилась позиция, которую вы не открывали? Прежде, чем в панике писать в службу поддержки и всякими нехорошими словами ругать своего брокера, посмотрите новое видео с нашего YouTube-канала «Деньги не спят».

Василий Олейник подробно рассказал, как работают разные типы биржевых заявок, объяснил, почему всё зависит от ликвидности, и поделился парочкой историй из личного опыта.

Кстати, в этом выпуске мы впервые показываем новую версию приложения Тинькофф Инвестиции. По секрету: там стало ещё больше удобных фич.",33,1616160345,n
14,"📅 Продолжаем публиковать расписание финансовых отчётностей в США. На следующей неделе их будет не много. Зато к ним можно будет лучше подготовиться. 

22 марта — Группа ЛСР, ГК ПИК, Tencent Music
23 марта — Adobe, IHS Markit
24 марта — General Mills, PetroChina, Tencent Holdings
25 марта — Darden Restaurants, Etalon Group 
26 марта — China Petroleum&Chemical

Мы вновь выделили компании, от которых аналитики, опрошенные Bloomberg, ожидают роста или падения. А также добавили время выхода отчетности и рассчитали, насколько волатильны могут быть бумаги в этот день.",36,1616171403,n
15,"🦦 Рубль и рынки ждут большие проблемы 
 
А вас ждёт новый выпуск на нашем YouTube-канале «Деньги не спят». Смотрите, чтобы встретить новую торговую неделю во всеоружии. 
 
— Разбираем, насколько сильно повлияет на российский фондовый рынок и динамику рубля новый пакет санкций со стороны США 
 
— Обсуждаем, как в очередной раз глава ФРС попытался успокоить рынки, и что из этого вышло 
 
— Говорим о том, какие новые сигналы посылают мировые центробанки 
 
— И делимся инвестидеями 
 
Смотрите видео, ставьте под ним 👍, если было полезно, и подписывайтесь на канал, чтобы не пропустить следующие серии. 
 
#деньгинеспят",38,1616336029,n
16,"🎈 ​​Нет ничего лучше добрых традиций 

У нас, например, есть традиция составлять для вас дайджест самых важных событий 📆 На этой неделе:

- Китай мутит серые схемы покупки нефти 
- Центробанк России повышает ключевую ставку 
- Нефть снова дорожает 
- А водители грузовиков в Перу бастуют. И у вас могут быть причины переживать по этому поводу.

Почему – читайте в нашем #дайджесте",39,1616423612,n
17,"💸 У нас вышла новая подборка взлетов и падений прошедшей недели. 

Оба победителя из сферы фармакологии:

👆🏻 Rubius Therapeutics, +54,5%
Компания опубликовала результаты фазы ½ исследований ее препарата для лечения рецидивирующих солидных опухолей.
Инвестбанк H.C. Wainwright подтвердил рейтинг «покупать» и повысил целевую цену для акций Rubius на 43% — до $40.

👇🏻 Translate Bio, -33,9%
Компания объявила промежуточные результаты ½ фазы испытаний ее препарата для лечения муковисцидоза. Согласно результатам, у участников испытаний не было заметных улучшений в работе легких.
Evercore ISI понизил рейтинг по акциям Translate Bio до «market perform» (доходность сопоставима со средней по рынку) и таргет на 16%, до $21 за акцию.

О том, какие еще акции отличились на прошлой неделе, читайте в нашей подборке",40,1616430635,n
18,"😏 Фьючерсы и SPAC теперь доступны в Тинькофф Инвестициях

У нас две новости. Первая – мы открываем для своих клиентов доступ к срочному рынку Московской биржи, а значит – к фьючерсам. Вторая – мы запустили для премиальных клиентов первый на российском рынке инструмент для инвестиций в SPAC.

А это значит, что у вас будет еще больше возможностей приумножить свой капитал. Как – читайте подробнее в нашем материале.

https://vc.ru/tinkoff_invest/223864-fyuchersy-i-spac-teper-dostupny-v-tinkoff-investiciyah",41,1616494623,n
19,"🙄 Центробанк России повысил ключевую ставку. А что мне с этого?

На этот вопрос мы ответим сегодня в 18:00 мск в Клабхаусе. Вместе со специалистами из Сколково мы разберемся, что значат низкие ставки в США и Европе, и как жить с повышенной ставкой в России. А также обсудим, есть ли пузыри на рынках 

Важная база для того, чтобы принимать инвестиционные решения!
https://www.joinclubhouse.com/event/PAdN2NJn",43,1616507130,n
20,"Необязательно быть блогером, чтобы вести социальные сети. Сегодня они есть почти у всех крупных компаний. Тинькофф Инвестиции тоже завели свои аккаунты в «ВКонтакте» и Facebook. Но прежде чем это сделать, мы изучили рынок.

Что другие компании пишут в своих социальных сетях? Зачем читателям на них подписываться? А главное, почему SMM — это уже давно не про продажи, а про поддержку пользователей и про шутки? Эти вопросы мы задали компаниям [club36941068|AliExpress Россия], [club1239834|Aviasales.ru], [club31333866|BURGER KING® Russia] и [club354372|hh.ru]
 
Ответы на эти вопросы читайте в нашем специальном материале",50,1616603365,n
21,"📒 Обо всех правилах игры на фондовом рынке мы рассказываем в нашем Учебнике инвестиций 

 – собираем портфель (не школьный, а инвестиционный)🎒 
– учимся давать в долг и зарабатывать на этом 💸 
– становимся совладельцами бизнеса 😎 

 В конце каждого урока достаем двойные листочки и пишем контрольные 🙄 Мы не шутим: тесты в нашем Учебники нужны, чтобы вы лучше разобрались в инвестициях и заработали кучу денег на фондовом рынке 💰

https://invest-course.onelink.me/cu6x/9cc66150",56,1616760216,n
22,"🎈 Финансовый пузырь может лопнуть. Рассказываем, как защититься от корреляции рынка.

Благодаря сильному росту рынка акций США в течение последних двух лет большая часть инвесторов имеет неплохую доходность в своём портфеле. Но сейчас пришло время подумать, как снизить риски – ведь не за горами финальная стадия взлёта и конец финансового пузыря 💥 

Аналитики Тинькофф Инвестиций подготовили несколько советов по этому поводу. Узнайте, как спасти свои деньги",71,1616850019,n
23,"💫 ​​И снова взлеты и падения

Посмотрим, акции каких компаний отличились на фондовом рынке на прошлой неделе: 

⤴⤴⤴ 

O-I Glass +20% 
Акции производителя стеклотары росли после новости о переходе из индекса компаний средней капитализации S&P MidCap 400 в индекс компаний малой капитализации S&P SmallCap 600. Переход произойдет 30 марта. 

KBR +14,8%
У американской инженерно-строительной и сервисной компании было несколько достижений. Она сообщила об успешной реконструкции аммиачного завода в России (Дорогобуже).
Затем компания провела день инвестора, на котором сообщила о планах увеличить прибыль на акцию в два раза к 2025 году (с уровней 2021-го). Также компания объявила об увеличении размера дивидендов на 10%.

⤵⤵⤵ 

Odonate Therapeutics -83,7%
Компания объявила о прекращении разработки своего перорального химиотерапевтического препарата для лечения рака груди. 

Frequency Therapeutics -74,6%
Компания опубликовала предварительные данные второй фазы исследований препарата для лечения нейросенсорной тугоухости (частичная или полная потеря слуха). Они оказались не очень успешными.",76,1617017354,n
24,"💶 Вселенная евро: обзор акций и фондов в Тинькофф

В России у розничных инвесторов есть доступ к американским акциям на Санкт-Петербургской бирже. Только 52 из более чем 1 500 акций — это акции из Европы. Причем лишь 36 из них номинированы в евро, а остальные 16 торгуются в долларах. 

Несмотря на такую ограниченность в выборе, инвестировать в акции в евро необходимо для более полной и эффективной диверсификации портфеля.

Можно возразить, что для этого получится обойтись валютным вкладом. Но в Европе уже длительное время действуют отрицательные процентные ставки — и в ближайшее время повышать их не собираются. Поэтому инвесторам нужны активы с потенциально более высокой доходностью.

К таким активам и относятся акции в евро, а также фонды на них. Мы подготовили для вас обзор, где систематизировали, какие акции в евро можно найти в нашем приложении. А еще выбрали самые перспективные из них, на наш взгляд.

Обзор большой, поэтому рекомендуем читать его на компьютере или с планшета. Читать обзор - https://strategy2020.tinkoff.ru/euroassets/?utm_source=smm_inv&utm_medium=smm.unp&utm_campaign=invest.vk_invest_euro",80,1617030010,n
25,"​​Где доходность, Лебовски? 👿
 
«Я начал инвестировать, как ты и говорила. Но у меня нулевая доходность по портфелю, а в некоторые дни я вижу, что даже портфель в минусе?» 💸 

Об этом спросил нашего редактора его друг, который начал инвестировать месяц назад. Но в целом такая ситуация может случиться с любым инвестором в первые его три месяца на рынке. Насколько это нормально и что нужно сделать, чтобы привести в чувство свой портфель и заговорить только на рост, расскажем в этой статье.

#образование",82,1617101231,n
26,"Купить Газпром, Сбербанк или Яндекс реально!

По крайней мере маааааленькую их часть. Становись совладельцем компаний, покупая их акции. И наращивай свой капитал.

Благодаря фондовому рынку, клиенты Тинькофф Инвестиций уже заработали 30 млрд рублей. Присоединяйся к ним и ты!

https://tinkoff-invest.onelink.me/2065005593/cbfbd707",84,1617116412,n
27,"​​Солнышко в руках, много установок в полях 🌞 

В этом году появится рекордное количество солнечных установок по всему миру, – к таким выводам пришла исследовательская компания IHS Markit. 🌱 Их количество может вырасти на 27% с суммарной генерацией электроэнергии до более чем 180 ГВт.

«Многие страны, включая Китай, Индию и США, все больше переходят на возобновляемые источники энергии», — говорится в сообщении IHS Markit.

По прогнозам американской исследовательской компании, в этом году в Китае объем генерации солнечной энергии превысит 60 ГВт. 🔋 США, как ожидается, нарастят производство солнечной энергии до 27 ГВт. А Индия прибавит сразу порядка 12 ГВт генерации солнечной энергии.
 
Объемы производства солнечной энергии растут даже в условиях повышения цен на модули и транспортную логистику, отмечает исследовательская компания. 💰 Пиковые цены на некоторые виды сырья, такие как медь и сталь, вынуждали компании поддерживать высокую стоимость солнечных модулей.
 
Какие компании участвуют в развитии индустрии?
 
🔸 First Solar — американский производитель модулей солнечных батарей. Кроме этого, предоставляет оборудование для их производства другим компаниям.
 
🔸 Enphase Energy — компания предлагает различные решения в области солнечной энергетики, в частности для повышения производительности и надежности солнечных модулей.
 
🔸 NextEra Energy — одна из крупнейших энергетических компаний в США. Производит электроэнергию на ветровых, солнечных и газовых установках.
 
#новости",91,1617203520,n
28,"Как заработать 2 760 долларов за пять лет, почти ничего не делая? 🤔 Скажете: «никак»? Мы так не думаем. Можно, например, купить всего одну акцию на фондовом рынке. И наблюдать, как вы богатеете... ⌚",95,1617288201,n
29,"​​Мяч не отбил – садись в «котел» ⚽

Вы когда-нибудь играли в «горячую картошку»? Оказывается, так называют не только детское развлечение, но и портфель инвестора 🍟

И мы сейчас не шутим, хоть сегодня и 1 апреля. 

Что такое стратегии Couch Potato и Hot Potato, и почему они удобны и доступны всем инвесторам, рассказываем в нашем материале. 

#образование",99,1617294602,n
30,"​​Пссс...у нас тут инсайдерская информация 😏 

Комиссия по ценным бумагам и биржам США (SEC) обязывает все публичные компании отчитываться о сделках, которые совершили их инсайдеры. Это, например, менеджмент, должностные лица и владельцы более 10% акций компании 💰 

Они получают доступ к ключевой информации до того, как она становится общедоступной, и знают намного больше, чем люди извне.

Информация об инсайдерских сделках может быть полезна в качестве дополнительного инструмента 🔬 при анализе компании и принятии инвестиционных решений.

Открываем для вас «завесу тайны», рассказываем, что покупали и продавали инсайдеры в марте.

Читать #обзор - https://www.tinkoff.ru/invest/news/568796/?utm_source=smm_inv&utm_medium=smm.unp&utm_campaign=invest.vk_invest_inside",107,1617365761,n
31,"​​Зачем нужны облигации, и причем здесь пенсия?

Представьте, что на ваш зáмок напали. Враги наступают со всех сторон, но вы раз за разом успешно отбрасываете их от укреплений. 🏰 И тут вы замечаете, что одна из стен уменьшилась в размерах. Тяжело поверить, но она постепенно сжимается все сильнее и сильнее, пока не исчезает совсем. 

🔪 Именно так себя чувствуют управляющие пенсионными фондами в последнее время: их любимый способ диверсификации вышел из строя и больше не работает. 

Речь идет о золотом сечении 🔅 портфельной теории, когда вложения в акции и облигации распределены в пропорции 60 на 40 соответственно. Многие годы считалось, что именно такое соотношение позволяет достичь оптимального баланса доходности и риска для портфеля любых размеров.

Однако последние 40 лет вместе со снижением ключевой ставки ФРС постепенно падала и доходность облигаций. Спасут ли облигации ваш портфель в период низких ставок?

Рассказываем в нашем #обзоре 💼
https://smart-lab.ru/company/tinkoff_invest/blog/687627.php",109,1617381002,n
32,"🚀Акции и доллар летят в космос, фонды — вниз

В новом выпуске на нашем YouTube-канале «Деньги не спят» обсуждаем нашумевшее банкротство одного из частных хедж-фондов — какие выводы нужно сделать инвесторам? 

— Проводим подробный теханализ по индексам и изучаем данные одного очень любопытного рыночного индикатора

— Говорим о том, появились ли новые сигналы для будущей коррекции

— Разбираем новый инфраструктурный план Байдена — какие акции и сектора могут от него выиграть

— Следим за ситуацией на рынке нефти и динамикой валют

Смотрите видео, ставьте под ним 👍, если было полезно, и подписывайтесь на канал, чтобы не пропустить следующие серии.",116,1617550664,n
33,"​​Что ждёт нас на этой неделе 📆

Составили для вас дайджест предстоящих событий. В этот раз ожидаем:

▪прогнозы по инфляции и безработице в нескольких странах
▪корреляцию цен на нефть
▪отчеты нескольких крупных компаний (стоит посмотреть консенсус прогнозы в нашем дайджесте, чтобы спланировать свои торги)
Читать #дайджест - https://www.tinkoff.ru/invest/news/572350/?utm_source=smm_inv&utm_medium=smm.unp&utm_campaign=invest.vk_invest_1adigest",118,1617621101,n
34,"​​1 млн россиян пользуются Инвесткопилкой Тинькофф 💰 
 
Инвесткопилка — это специальный брокерский счет, который позволяет регулярно откладывать небольшие суммы с повседневных покупок и автоматически инвестировать их в биржевые фонды «Вечный портфель» от УК «Тинькофф Капитал».

Для Инвесткопилки можно выбрать четыре способа автоматического пополнения:
🔸кэшбэк
🔸процент на остаток
🔸округление регулярных трат 
🔸настройка своей суммы постоянных переводов

«В будущем сервис сможет самостоятельно определять, какую сумму стоит откладывать, и сформирует персонализированные стратегии под каждого конкретного клиента с учетом его целей, срока накоплений, готовности к риску и поведения», – комментирует генеральный директор УК «Тинькофф Капитал» Руслан Мучипов. 

Каждый месяц в Инвесткопилку поступают округления с 15 млн покупок. 💸 Большая часть клиентов — 48% — округляет покупки с шагом 50 ₽, 27% округляют покупки с шагом 100 ₽ и 25% — с шагом 10 ₽. 

https://help.tinkoff.ru/black/moneybox/?utm_source=smm_inv&utm_medium=smm.unp&utm_campaign=invest.vk_invest_moneybox",120,1617635774,n
35,"​​«Я взял себе за правило не шортить Tesla, что бы ни случилось» 📌 

Экономист Александр Клетенков стал призёром крупнейшего в России соревнования по биржевой торговле для непрофессионалов — конкурса «Лучший частный инвестор». 

Победителя оценивают по доходности портфеля на отрезке в четыре месяца. 💼 За это время портфель Александра подорожал на 69%. При этом он почти полностью состоит из акций.

В этой статье Александр рассказывает о своих правилах инвестирования. 

Читать статью - https://vc.ru/promo/225731-investing-strategy",128,1617642124,n
36,"Шутки в сторону: как инвестируют стенд-ап комики 😏
 
Дмитрий Романов инвестирует с Тинькофф больше четырех лет. И только за прошлый год ему удалось вырастить свой инвестиционный портфель на 45%. 

«Я предпочитаю покупать акции и потом их продавать, все, которые на слуху: Facebook, Apple, нефтяная отрасль, Google, Amazon, – рассказал Романов. – За первые полгода я заработал 30%, потому что торговал более активно. После пандемии началась работа, и я перешел в более долгосрочную перспективу».

О том, как Романов изучал инвестиции, и какие стратегии предпочитает, – читайте в его интервью.",131,1617711031,n
37,"​​Индексы Nasdaq Composite, S&P 500 и Dow Jones Industrial Average снова растут 🔝 

Вот несколько причин, почему так происходит: 

▪ Основные индексы акций США продолжили двигаться по восходящему тренду после того, как недавний отчет о занятости показал, что в США появился один миллион новых рабочих мест. 

Эти данные значительно выше ожиданий. Общий уровень безработицы в стране снизился до 6%.

▪Индекс делового оптимизма в секторе услуг — ISM — продемонстрировал самые высокие в истории индекса показатели в 63,7%. Эксперты прогнозировали значение индекса в 58,6%.

▪ Индекс деловой активности в секторе услуг — PMI — достиг значения 60,4, что также оказалось выше ожиданий аналитиков. Следует отметить, что PMI демонстрирует самый быстрый рост с июля 2014 года.

▪ Динамика доходности десятилетних казначейских облигаций США развернулась, показав снижение на 1 базисный пункт — до 1,71%.

С начала 2021 года Nasdaq Composite вырос на 6,3%, а Dow Jones Industrial Average — на 9,5%. Американский индекс широкого рынка S&P 500 вырос на 8,5%, превысив отметку в 4 000 пунктов.

#новости",134,1617722855,n
38,"​​🔜 Стрим с Василием Олейником

Сегодня в 18.00 Василий Олейник выйдет в прямой эфир на нашем YouTube-канале «Деньги не спят», чтобы обсудить перспективы рынков и отдельных акций на второй квартал 2021.

И какой же стрим без конкурса: на этот раз среди наших подписчиков мы будем разыгрывать книгу от Сергея Гуриева, с которым совсем скоро запишем интервью. 

Вопросы Василию Олейнику пишите в чате трансляции, а Сергею Гуриеву — в комментариях под видео, когда оно появится на канале.

Ссылка на трансляцию https://youtu.be/rfYDUAi6o4Y

P.S. Запись будет доступна после эфира.",148,1617802595,n
39,"🏡 Стоит ли инвестировать в недвижимость? И если да, то как? 

Инвестиции в недвижимость — это один из способов защититься от инфляции. Но не обязательно покупать квартиру или дом. Существуют американские инвестиционные фонды недвижимости — REIT. На Санкт-Петербургской бирже доступны депозитарные расписки 58 таких фондов. В этой статье мы расскажем, как правильно оценить их инвестиционную привлекательность.",154,1617812338,n
40,"​​Модные инвестиции: Crocs x Бибер x Bradley ✨ 

Коллаборация – вот что объединяет компанию Crocs с певцом Джастином Бибером и дизайнером сумок Vera Bradley. 

11 марта акции изготовителя резиновой обуви выросли на 3.08% после объявления о выходе лимитированной коллекции Crocs x Justin Bieber, а 6 апреля прибавили 3.6% на фоне новостей о партнерстве с брендом Vera Bradley.

Вложиться в кроксы: 

🐊 По словам руководителя отдела маркетинга Crocs Эмили Слай, для компании большое значение имеют индивидуальность и самовыражение, на что благоприятно влияет партнерство со знаменитостями. Также это ведет к росту узнаваемости бренда.

💡 Акции Crocs выглядят привлекательно не только благодаря коллаборациям. Аналитики прогнозируют рост продаж на 24.5% в 2021 году, а по коэффициенту P/E компания не выглядит дорогой ни относительно конкурентов, ни исторически. Кроме того, у Crocs есть большие возможности для расширения присутствия в Китае.

https://v.tinkoff.ru/zlmiofincon",179,1617888836,n
